emoji,name,description
💤,Zzzz sleep,"“Zzz” indicates in comics that someone is asleep. Maybe the interlocutor indicates sleepiness, but it can also hint at disinterest and boredom."
🐲,Dragon Head,"Not the most popular emoji to meet in messages or social media posts. The Dragon Head is all about magic, fantasy and mystery."
🚬,Cigarette,"Yes, we know, that smoking harms, but some of us still do smoke, and this emoji can be used in a context “let’s go have a break”, or “I’m dying to smoke”."
🌊,Wave,"The Ocean Wave is the emoji which is especially loved by surfers and people who enjoy water sports. Although, you can easily use this emoji to add to your messages about holidays on a beach."
🚰,Potable Water,"You are thirsty? Then this Potable Water emoji might come in handy. Since Unicode doesn’t have a water bottle emoji anymore, this is our only option."
🚱,Non-Potable Water,"Want to warn someone? Can use this Non-Potable Water emoticon, which not only depicts the water that is better not to drink, but something dangerous in general."
🚿,Shower,"Tired after working out or it’s just too hot outside, that the only thing you wish for is a shower? You have this realistic emoji to use!"
💧,Drop,"This water drop emoji is also often use as a sweat drop, to point on your tiredness or exhaustion. Although, it will also work in a context of a shower, or drinking water."
☉,Sun,"The Sun emoji is a representation of the solar symbol, symbolizing brightness, warmth, and the start of a new day. It is often used to express happiness, hope, and the beauty of sunny weather."
✨,Sparkle,A very bright and light Sparkle Emoji means nothing by the good moments and feelings. Decorate any message with this glittering emoticon to add charm and elegance!
🍭,Lollipop,"This colorful candy would seem very childish, if not the “secret” meaning, in which it is lately being used."
🌭,Hot Dog,"Hungry for a snack? Well, be careful in sending this emoji to a friend, as it also has its “erotic” meaning."
🎉,Party popper,"Joy! Ecstatic emotions, celebration and happiness! This emoji can’t mean anything bad at all. But note, that it can also mean orgasm in some chats."
♋,Zodiac Sign Cancer,"Astrology? For sure. But not only that. This emoji also stands for the “69” pose. So if you want to congratulate someone on their July birthday, be careful, unless you mean it."
🎃,Pumpkin,"One of the most Halloweenish emojis in Unicode. Use it to decorate your creepy messages, sent out in the end of each October!"
🌕,Moon,"Moon is all about spiritual experience, mystical nights and magic. Full Moon is a time for extraordinary things, so use this emoji for special messages."
🔫,Gun,This toy gun has replaced a real weapon emoji not so long ago. This is how all major companies started to fight with violence in social media and private messages.
🔥,Fire,"“I’m on fire”, “You look just wow”, “Hot as hell”. All these messages can easily be accompanied by the Fire emoji. You can also use it as a symbol of warmth."
🎅,Santa Claus,"Looking for a proper emoji to add to a Christmas message? Here it is! What is a better symbol of the all-loved holiday, that Santa Claus!"
🎄,New Year’s Tree,Another perfect emoji for the Christmas season. What is good with this Christmas Tree is that it is suitable for both friendly and more official correspondence.
☃,Snowman,"The Unicode Snowman is a perfect emoji to accompany messages about having fun outdoors during Christmas holidays. Games with kids, family time, pure joy!"
❄,Snowflake,"The Snowflake emoji is not as simple as can seem. Of course, most often it is use in its direct meaning, but on the modern song it also means a very “fragile” touchy person."
✓,Check,When something in your list is done — here is the right emoji for it. It is also a good image to use in work or school chats. Clear and understandable.
🇺🇸,American Flag,"What can the American Flag stand for? Obviously, for something made in the USA. Whether it a car, fashion brand, or a song, feel free to add it to your message."
🧢,Cap,"Blue cap emoji in comments and messages means criticism. This meme came from the expression “no cap,” which in youth slang means “no lie.”"
🔪,Knife,"This emoji can be used in its direct meaning, or in case when someone feels really angry and furious, on the edge."
💍,Ring,"The diamond ring is most often used in the messages connected to weddings, and serious relationships. No explanation needed."
🎈,Baloon,"An emoji, which signifies nothing but good emotions, joy and happiness. Use it in connection to parties and celebrations, or simply to make someone smile."
🏆,Trophy,"If you want to praise or support a friend, you can send them this Trophy emoji, which is a symbol of triumph and winning."
🚗,Car,"Going on a road trip or just standing in a city traffic — then this red car emoji will be handy. It can also mean any automobile, depending on a context."
🚘,Car Front-view,"Same meaning as the previous emoji, but more often used when talking about cars in general, not traveling."
🚙,Jeep,"If you are traveling of a blue car or on a large car, then this emoji will be a good accompaniment to your message."
🛻,Pick-up,"It’s all the same meaning, just with the other type of car, so use it in your messages if you are a pick-up owner or passenger."
🏎️,Racing Car,This car emoji usually means speed. So you can use it when you are in a rush or trying to make it on time.
🌈,Rainbow,"Apart from its direct meaning, the rainbow is often used as a symbol of LGBT, along with the rainbow flag or a unicorn."
❌,Cross,A sign to forbid or end a conversation. This emoji can also be used in to-do lists next to completed tasks. It can also simply mean “Cancel”.
❎,Cross Button,"Despite the same shape as the previous emoji, this cross is more commonly used in lists and work chats, as its color scheme does not carry any negative connotations."
✝️,Latin Cross,"This across emoji is usually used in religious context, and everything connected to Christianity and faith in general."
☦️,Orthodox Cross,"All the same as the previous cross, but with an emphasis on Orthodox Christianity. One of the most religious emoticons in the list."
🏈,Football Ball,"Use this Football emoji when talking about sports, or inviting a friend to ply or watch a game."
⚽,Soccer Ball,"This emoji is a symbol of the world’s most popular sport discipline — soccer. So use it for everything connected to it, or any related activity."
👑,Crown,"Crown is a symbol of royalty and majesty, which today is more often used to compliment someone’s beauty and elegance."
🏳️‍⚧️,Transgender Flag,The transgender community flag is used for anything related to this part of the LGBT community.
📱,Mobile Phone,"Use this emoji with everything connected to mobile phones, or if you want to tell someone that you are on the call right now."
☎️,Phone,"This red phone emoji can be used when you are sending someone a contact, or when you are planning a phone call or conference."
📞,Telephone Handset,This handset emoji doesn’t differ from the previous much in its meaning. So use it in the same cases. It’s just the matter of design.
📖,Open Book,This emoji stands for reading and books in general. But can also signify someone’s openness and sincerity.
📕,Closed Book,"Unlike the previous emoji, this book can mean that a person is quite closed or reserved. It can also stand for some kind of secret or mystery."
📗,Green Book,If you a reading a book with a green cover — this emoji will be of a great help to color up your message.
📘,Blue Book,"This emoticon can whether mean reading, or a particular book, or, just like the Closed Book emoji — a reserved person."
📙,Orange Book,"Also a book or a reading process. Just pick the color of the cover you like most, and add to you posts and messages."
📚,Books,"Several books in different colors are usually used to depict reading, a book store or a library."
🍪,Cookie,"A sweet cookie can mean nothing bad. It’s whether a depiction of desert, or a compliment to someone you really like and find attractive."
⚡,High Voltage,"This bright lightning emoji usually means risk and danger, and is used as a cautionary warning. But it can also be put in the messages about weather."
🌩️,Lightning,"Unlike the previous emoji, this one is used to describe bad weather, but not only outside. It can also stand for a bad mood."
⛈️,Thunderstorm,The Thunderstorm emoji is an accelerated version of the previous emoticon. For a worse weather and for a worse mood.
🚀,Rocket,"The rocket emoji can be used in texts, connected to achievements and ambitions. It can also mean high speed or progress."
🉑,Acceptable,"This character is pronounced like “ka” in Japanese and “ke” in Chinese. It means that something is possible, appropriate, or even permissible."
🈶,Paid,Emoji shows a Japanese and Chinese phrase that means “toll” or “fee” or “possession”.
🈚️,Free,The character shows an offer with no fee or other payment. It can also mean “I have nothing”.
🈸,Application,"In Japan, this sign is found on applications and letterheads. In addition, it is the symbol of the monkey according to the Chinese horoscope."
🈺,Open,"This symbol indicates that a business is ready, open or beginning to offer its services."
🈷️,Monthly/Lunar sign,This sign is known in both Japan (tsuki) and China (yue). It warns of the imminent payment of certain monthly services.
💮,Very well done,A white flower with the Japanese font “Very well done” is used in schools in Japan instead of the “five” mark.
🉐,Price Reduction,"A popular sign during a sale, or a global price cut during a certain promotion."
㊙,Secret,This symbol is used in China and Japan to indicate confidential information or just a secret.
㊗,Congratulations,It is a sign of best wishes and blessings. It is close in meaning to the expression “I wish you good luck.”
🈴,Exam passed,"This symbol is found in the successful passing of exams or tests. But it can also denote an association, as in a partnership, or a hint of an upcoming meeting."
🈵,Sign full/occupied,"This symbol denotes receptivity and free capacities, such as “Fill up the car” or “This hotel room is still available.”"
🈹,Discount sign,This is a Japanese symbol for a sale. It is posted on the doors of stores during big discount promotions to attract more customers.
🈲,Forbidden sign,This Japanese sign indicates a prohibition or restriction. Certain actions or behaviors are not allowed here.
🈳,Free sign,This emoji serves to indicate an empty aisle or unoccupied. You can find it to signify vacant parking lots or hotel rooms.
🈂,Free,"The sign shows that something is free, most often in connection with some kind of service. In Japan it means free food or drinks.️"
〽,Japanese punctuation mark,"This character stands for the beginning of a verse in a song. In our country, it’s more commonly used as a McDonald, ‘s logo.️"
